categoryId,title,parentTitle
914592,Spring 2013,914346
914682,Summer 2013,914346
915130,Fall 2013,914346
917071,Season 1,914346
917072,Season 2,914346
917073,Season 3,914346
917074,Season 4,914346
10009031,Season 5,914346
10009152,Lego Pizza Delivery,914346
10015467,Season 6,914346
10039219,Season 7,914346
10042077,Vol 1,914346
10042079,Vol 2,914346
10042081,Vol 3,914346
10042082,Vol 4,914346
10042934,Vol 5,914346
10042936,Vol 6,914346
10042937,Vol 7,914346
10042938,Vol 8,914346
10042939,Vol 9,914346
10042940,Vol 10,914346
10081401,Season 8,914346
10084946,Season 15,914346
10084945,Season 14,914346
10084944,Season 13,914346
10088610,Season 9,914346
10088611,Season 10,914346
10088612,Season 11,914346
10088613,Season 12,914346
10088615,Season 17,914346
10088616,Season 18,914346
10088614,Season 16,914346
10088617,Season 19,914346
