Category,Category id
Action Genre,10037916
Adventure Genre,10057527
Alien Encounter Genre,10263322
Animal Genre,10244359
Animated Genre,10083353
Anime Genre,10244360
Apocalyptic Sci-Fi Genre,10259017
Apocalyptic Thriller Genre,10263318
Based on Real Events-True Stories,10320677
Biography,548524
Biopunk Genre,10263321
Book Adaptations,10320678
Comedy Genre,10037913
Courtroom Genre,10259011
Crime Genre,10067119
Cult Genre,10059216
Cyberpunk Genre,10263336
Detective Genre,10259007
Disaster Genre,10259132
Documentary Genre,10056191
Drama Genre,10037914
Educational Genre,10244362
Epic Action Genre,10259130
Erotic Genre,10060533
Experimental Genre,10186234
Faith Genre,10219204
Family Genre,10057506
Fantasy Genre,10060798
Fashion Genre,10244364
Fiction,10021602
Film-Noir,10067124
Food Genre,10244363
Foreign Genre,10057503
Found Footage Horror Genre,10257231
Future Noir Genre,10259018
Gaming Genre,10244365
Gangster Genre,10259008
Hard Sci-Fi Genre,10259016
Hard-Boiled Genre,10259009
Health Genre,10244366
Hindi Movie Genre,10201095
History,915504
Horror Genre,10037915
Kids Genre,10244361
Martial Art Genre,10053953
Medical Fiction Genre,10263320
Military Science Fiction Genre,10259021
Monster Horror Genre,10257232
Murder Mystery Genre,10320719
Musical Genre,10088213
Mystery Genre,10059928
Nature Genre,10244367
Political Thriller Genre,10320679
Psychological Horror Genre,10257228
Punk Sci-Fi Genre,10259022
Reality Genre,10244368
Road Genre,10290744
Science Fiction Genre,10053947
Short Films,10035562
Slasher Horror Genre,10257226
Space Opera Genre,10259019
Speculative Sci-Fi Genre,10259024
Splatter Horror Genre,10257227
Sport Genre,10117418
Spy Genre,10259131
Student Genre,10146642
Superhero Genre,10259135
Survival Horror Genre,10257230
Survival Thriller Genre,10263319
Technology Genre,10244369
Terror Genre,10190180
Thriller Genre,10053952
Urban Fiction Genre,10170746
Video Game Genre,10259136
War Genre,10088354
Western Genre,10057505
TV Movie,10323707
Miniseries,10323716
Spoof,10323730
Supernatural Genre,10323731
Satire Genre,10323732
Farce/Slapstick Genre,10323810
Subversive Genre,10323812
Period Genre,10323816
Military Genre,10323958
Stoner Genre,10324104
Revenge Genre,10324152
Family Life Drama Genre,10324687
Coming of Age Genre,10324691
Screwball Comedy Genre,10324936
Police Genre,10324937
Romantic Comedy Genre,10325043
Police Drama/Law Enforcement Genre,10325050
Conspiracy Genre,10325060
Crime Comedy Genre,10325432
Psychological Drama Genre,10325434
Raunchy Comedy Genre,10325436
Realistic Future Genre,10325444
Indie Genre,10325477
Suspense Genre,10325500
Human vs Robot,10325736
Student vs Teacher,10325746
Gender Bias - Keywrod,10326426
Horror Comedy Genre,10327915
Heist Genre,10327919
Romantic Mystery Genre,10327924
Romantic Mystery Genre,10327924
Family Adventure Genre,10328337
Comedy Cultural Genre,10328338
Comedy Documentary Genre,10328339
Action - Comic Genre,10328346
Alternate History Genre,10328395
Political Drama Genre,10328404
Western Drama Genre,10328639
Sitcom Genre,10329520
Science Fiction Comedy Genre,10329685
Adventure-Comic Genre,10331046
Romantic Drama Genre,10331048
Sport Comedy Genre,10331051
Action Crime Genre,10331058
Romantic Adventure Genre,10331064
Crime Drama Genre,10331548
Romance,530930
Adult,916105
Psychological Thrillers,10259035
